API Method,API Doc URL,Model,Is Assertion #1 sound?,Is Assertion #2 sound?,Is Assertion #3 sound?,Is Assertion #4 sound?,Is Assertion #5 sound?,tech,rep
cryptography.fernet.Fernet.decrypt,https://cryptography.io/en/latest/fernet/#cryptography.fernet.Fernet.decrypt',gpt-4-final,Yes,Yes,,,,pbt,1
cryptography.fernet.Fernet.encrypt,https://cryptography.io/en/latest/fernet/#cryptography.fernet.Fernet.encrypt',claude-3-opus-20240229,Yes,Yes,Yes,,,pbt,1
cryptography.fernet.Fernet.encrypt,https://cryptography.io/en/latest/fernet/#cryptography.fernet.Fernet.encrypt',gemini-1.5-pro-latest-final,Yes,Yes,Yes,,,pbt,1
cryptography.fernet.Fernet.encrypt,https://cryptography.io/en/latest/fernet/#cryptography.fernet.Fernet.encrypt',gpt-4-final,Yes,Yes,Yes,,,pbt,1
datetime.date.isocalendar,https://docs.python.org/3/library/datetime.html#datetime.date.isocalendar',claude-3-opus-20240229,Yes,Yes,Yes,Yes,No,pbt,1
datetime.date.isocalendar,https://docs.python.org/3/library/datetime.html#datetime.date.isocalendar',gpt-4-final,Yes,Yes,No,,,pbt,1
datetime.datetime.fromordinal,https://docs.python.org/3/library/datetime.html#datetime.datetime.fromordinal',claude-3-opus-20240229,Yes,Yes,Yes,Yes,Yes,pbt,1
datetime.datetime.fromordinal,https://docs.python.org/3/library/datetime.html#datetime.datetime.fromordinal',gpt-4-final,Yes,Yes,Yes,Yes,Yes,pbt,1
datetime.timedelta.total_seconds,https://docs.python.org/3/library/datetime.html#datetime.timedelta.total_seconds',claude-3-opus-20240229,Yes,No,No,Yes,Yes,pbt,1
datetime.timedelta.total_seconds,https://docs.python.org/3/library/datetime.html#datetime.timedelta.total_seconds',gpt-4-final,Yes,No,,,,pbt,1
dateutil.parser.isoparse,https://dateutil.readthedocs.io/en/stable/parser.html#dateutil.parser.isoparse',gpt-4-final,Yes,,,,,pbt,1
dateutil.parser.parse,https://dateutil.readthedocs.io/en/stable/parser.html#dateutil.parser.parse',claude-3-opus-20240229,Yes,No,,,,pbt,1
dateutil.parser.parse,https://dateutil.readthedocs.io/en/stable/parser.html#dateutil.parser.parse',gemini-1.5-pro-latest-final,Yes,Yes,Yes,Yes,Yes,pbt,1
dateutil.parser.parse,https://dateutil.readthedocs.io/en/stable/parser.html#dateutil.parser.parse',gpt-4-final,Yes,,,,,pbt,1
decimal.Decimal.as_integer_ratio,https://docs.python.org/3/library/decimal.html#decimal.Decimal.as_integer_ratio',gpt-4-final,Yes,No,,,,pbt,1
decimal.Decimal.compare,https://docs.python.org/3/library/decimal.html#decimal.Decimal.compare',gpt-4-final,Yes,Yes,,,,pbt,1
decimal.Decimal.from_float,https://docs.python.org/3/library/decimal.html#decimal.Decimal.from_float',gpt-4-final,Yes,Yes,Yes,Yes,Yes,pbt,1
html.escape,https://docs.python.org/3/library/html.html#html.escape',claude-3-opus-20240229,No,Yes,Yes,Yes,Yes,pbt,1
html.escape,https://docs.python.org/3/library/html.html#html.escape',gemini-1.5-pro-latest-final,No,Yes,Yes,Yes,Yes,pbt,1
html.escape,https://docs.python.org/3/library/html.html#html.escape',gpt-4-final,No,Yes,Yes,No,No,pbt,1
networkx.degree,https://networkx.org/documentation/stable/reference/generated/networkx.classes.function.degree.html',gpt-4-final,Yes,,,,,pbt,1
networkx.find_cliques,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.clique.find_cliques.html',gpt-4-final,Yes,Yes,No,Yes,,pbt,1
networkx.find_cycle,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.cycles.find_cycle.html',claude-3-opus-20240229,Yes,Yes,Yes,Yes,No,pbt,1
numpy.add,https://numpy.org/doc/stable/reference/generated/numpy.add.html',gpt-4-final,No,Yes,Yes,Yes,Yes,pbt,1
numpy.linalg.norm,https://numpy.org/doc/stable/reference/generated/numpy.linalg.norm.html',gemini-1.5-pro-latest-final,Yes,Yes,,,,pbt,1
pandas.isna,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.isna.html',gpt-4-final,Yes,Yes,Yes,Yes,Yes,pbt,1
pandas.merge,https://pandas.pydata.org/docs/reference/api/pandas.merge.html#pandas.merge',gpt-4-final,Yes,Yes,Yes,Yes,Yes,pbt,1
statistics.geometric_mean,https://docs.python.org/3/library/statistics.html#statistics.geometric_mean',claude-3-opus-20240229,Yes,No,Yes,,,pbt,1
statistics.geometric_mean,https://docs.python.org/3/library/statistics.html#statistics.geometric_mean',gemini-1.5-pro-latest-final,Yes,No,,,,pbt,1
statistics.geometric_mean,https://docs.python.org/3/library/statistics.html#statistics.geometric_mean',gpt-4-final,Yes,Yes,,,,pbt,1
statistics.mean,statistics_mean.txt',gpt-4-final,No,Yes,,,,pbt,1
statistics.median,https://docs.python.org/3/library/statistics.html#statistics.median',gpt-4-final,Yes,No,Yes,,,pbt,1
zlib.adler32,https://docs.python.org/3.1/library/zlib.html#zlib.adler32',claude-3-opus-20240229,Yes,No,No,No,,pbt,1
zlib.adler32,https://docs.python.org/3.1/library/zlib.html#zlib.adler32',gemini-1.5-pro-latest-final,No,Yes,Yes,,,pbt,1
zlib.adler32,https://docs.python.org/3.1/library/zlib.html#zlib.adler32',gpt-4-final,Yes,Yes,No,,,pbt,1
zlib.compress,https://docs.python.org/3.1/library/zlib.html#zlib.compress',claude-3-opus-20240229,Yes,No,No,Yes,,pbt,1
cryptography.fernet.Fernet.decrypt,https://cryptography.io/en/latest/fernet/#cryptography.fernet.Fernet.decrypt',claude-3-opus-20240229,Yes,Yes,Yes,Yes,,pbt_and_props,1
cryptography.fernet.Fernet.encrypt,https://cryptography.io/en/latest/fernet/#cryptography.fernet.Fernet.encrypt',claude-3-opus-20240229,Yes,No,Yes,Yes,No,pbt_and_props,1
cryptography.fernet.MultiFernet.rotate,https://cryptography.io/en/latest/fernet/#cryptography.fernet.MultiFernet.rotate',claude-3-opus-20240229,Yes,Yes,Yes,Yes,No,pbt_and_props,1
cryptography.fernet.MultiFernet.rotate,https://cryptography.io/en/latest/fernet/#cryptography.fernet.MultiFernet.rotate',gpt-4-final,Yes,Yes,Yes,,,pbt_and_props,1
datetime.date.isocalendar,https://docs.python.org/3/library/datetime.html#datetime.date.isocalendar',claude-3-opus-20240229,Yes,Yes,Yes,Yes,No,pbt_and_props,1
datetime.datetime.fromordinal,https://docs.python.org/3/library/datetime.html#datetime.datetime.fromordinal',gemini-1.5-pro-latest-final,Yes,Yes,Yes,Yes,Yes,pbt_and_props,1
datetime.datetime.fromordinal,https://docs.python.org/3/library/datetime.html#datetime.datetime.fromordinal',gpt-4-final,Yes,Yes,Yes,Yes,Yes,pbt_and_props,1
datetime.timedelta.total_seconds,https://docs.python.org/3/library/datetime.html#datetime.timedelta.total_seconds',claude-3-opus-20240229,Yes,Yes,Yes,,,pbt_and_props,1
datetime.timedelta.total_seconds,https://docs.python.org/3/library/datetime.html#datetime.timedelta.total_seconds',gemini-1.5-pro-latest-final,Yes,,,,,pbt_and_props,1
datetime.timedelta.total_seconds,https://docs.python.org/3/library/datetime.html#datetime.timedelta.total_seconds',gpt-4-final,Yes,No,Yes,Yes,Yes,pbt_and_props,1
dateutil.parser.isoparse,https://dateutil.readthedocs.io/en/stable/parser.html#dateutil.parser.isoparse',gpt-4-final,Yes,,,,,pbt_and_props,1
decimal.Decimal.as_integer_ratio,https://docs.python.org/3/library/decimal.html#decimal.Decimal.as_integer_ratio',claude-3-opus-20240229,Yes,Yes,Yes,No,Yes,pbt_and_props,1
decimal.Decimal.as_integer_ratio,https://docs.python.org/3/library/decimal.html#decimal.Decimal.as_integer_ratio',gpt-4-final,Yes,Yes,Yes,No,Yes,pbt_and_props,1
decimal.Decimal.from_float,https://docs.python.org/3/library/decimal.html#decimal.Decimal.from_float',claude-3-opus-20240229,Yes,No,,Yes,Yes,pbt_and_props,1
decimal.Decimal.from_float,https://docs.python.org/3/library/decimal.html#decimal.Decimal.from_float',gpt-4-final,Yes,Yes,Yes,Yes,Yes,pbt_and_props,1
decimal.Decimal.quantize,https://docs.python.org/3/library/decimal.html#decimal.Decimal.quantize',gemini-1.5-pro-latest-final,No,,,,,pbt_and_props,1
html.escape,https://docs.python.org/3/library/html.html#html.escape',gemini-1.5-pro-latest-final,No,,,,,pbt_and_props,1
html.escape,https://docs.python.org/3/library/html.html#html.escape',gpt-4-final,No,Yes,Yes,No,Yes,pbt_and_props,1
html.unescape,https://docs.python.org/3/library/html.html#html.escape',claude-3-opus-20240229,Yes,Yes,Yes,Yes,Yes,pbt_and_props,1
html.unescape,https://docs.python.org/3/library/html.html#html.escape',gpt-4-final,Yes,Yes,Yes,No,Yes,pbt_and_props,1
numpy.linalg.norm,https://numpy.org/doc/stable/reference/generated/numpy.linalg.norm.html',gpt-4-final,Yes,Yes,No,Yes,,pbt_and_props,1
statistics.mean,statistics_mean.txt',claude-3-opus-20240229,Yes,Yes,No,No,No,pbt_and_props,1
statistics.mean,statistics_mean.txt',gpt-4-final,Yes,No,Yes,Yes,Yes,pbt_and_props,1
statistics.median,https://docs.python.org/3/library/statistics.html#statistics.median',claude-3-opus-20240229,No,No,Yes,Yes,Yes,pbt_and_props,1
